"user_id","referral_code","user_referrer_id","referral_status","referral_date","program_referrer_id","referred_user_id","reward_status","reward_type","reward_value","order_id","order_value","order_date","reward_id","reward_granted_type","granted_reward_value","reward_date","transaction_id","transaction_type","transaction_value","transaction_date","campaign_id","campaign_type","campaign_date"
384,"REF9011","0","completed","2022-04-22",297,751,"pending","points","5.43",756,"70.87","2022-09-14",NULL,NULL,NULL,NULL,29,"referral_bonus","386.38","2021-02-04",691,"social media","2021-11-15"
384,"REF9011","0","completed","2022-04-22",297,751,"pending","points","5.43",712,"406.74","2022-05-05",NULL,NULL,NULL,NULL,29,"referral_bonus","386.38","2021-02-04",691,"social media","2021-11-15"
725,"REF1792","468","pending","2022-10-10",1357,1116,"expired","points","10.37",1432,"482.06","2022-06-14",104,"cash","44.53","2021-09-28",40,"referral_bonus","61.09","2021-07-28",NULL,NULL,NULL
779,"REF8638","928","failed","2022-04-26",875,245,"granted","points","49.52",1354,"495.78","2022-03-08",946,"points","89.43","2022-08-08",67,"purchase","198.03","2021-08-17",NULL,NULL,NULL
624,"REF2157","0","failed","2021-11-05",156,481,"granted","points","19.24",38,"415.34","2022-03-14",1080,"points","39.85","2021-09-12",85,"referral_bonus","212.71","2022-07-01",NULL,NULL,NULL
448,"REF6703","0","completed","2021-12-08",162,1038,"expired","discount","29.14",NULL,NULL,NULL,664,"cash","91.35","2021-08-17",95,"purchase","358.75","2022-08-09",NULL,NULL,NULL
456,"REF2669","0","completed","2022-02-12",1082,912,"granted","discount","44.6",404,"273.14","2021-07-09",1405,"discount","53.82","2022-05-28",115,"purchase","377.83","2021-06-18",NULL,NULL,NULL
456,"REF2669","0","completed","2022-02-12",1082,912,"granted","discount","44.6",404,"273.14","2021-07-09",1375,"points","15.8","2021-04-09",115,"purchase","377.83","2021-06-18",NULL,NULL,NULL
456,"REF2669","0","completed","2022-02-12",1082,912,"granted","discount","44.6",404,"273.14","2021-07-09",510,"points","98.99","2021-07-02",115,"purchase","377.83","2021-06-18",NULL,NULL,NULL
779,"REF8638","928","failed","2022-04-26",875,245,"granted","points","49.52",1354,"495.78","2022-03-08",946,"points","89.43","2022-08-08",122,"purchase","18.46","2022-04-29",NULL,NULL,NULL
898,"REF1615","904","failed","2022-07-02",1450,1385,"pending","points","24.5",1326,"56.87","2022-01-28",NULL,NULL,NULL,NULL,130,"referral_bonus","50.83","2022-10-24",NULL,NULL,NULL
898,"REF1615","904","failed","2022-07-02",1450,1385,"pending","points","24.5",895,"21.71","2022-05-25",NULL,NULL,NULL,NULL,130,"referral_bonus","50.83","2022-10-24",NULL,NULL,NULL
898,"REF1615","904","failed","2022-07-02",1450,1385,"pending","points","24.5",44,"330.95","2022-04-23",NULL,NULL,NULL,NULL,130,"referral_bonus","50.83","2022-10-24",NULL,NULL,NULL
159,"REF1566","575","failed","2021-08-19",722,365,"pending","discount","16.51",1246,"22.09","2021-01-27",1010,"points","40.29","2022-11-25",135,"referral_bonus","445.16","2021-10-10",NULL,NULL,NULL
159,"REF1566","575","failed","2021-08-19",722,365,"pending","discount","16.51",1246,"22.09","2021-01-27",569,"cash","18.85","2022-12-29",135,"referral_bonus","445.16","2021-10-10",NULL,NULL,NULL
159,"REF1566","575","failed","2021-08-19",722,365,"pending","discount","16.51",1246,"22.09","2021-01-27",103,"cash","37.64","2021-08-27",135,"referral_bonus","445.16","2021-10-10",NULL,NULL,NULL
419,"REF8643","0","completed","2021-11-22",344,499,"expired","discount","47.52",1297,"498.29","2021-01-21",1157,"points","36.94","2022-08-20",163,"referral_bonus","335.52","2021-03-16",NULL,NULL,NULL
419,"REF8643","0","completed","2021-11-22",344,499,"expired","discount","47.52",1297,"498.29","2021-01-21",692,"points","75.82","2022-04-23",163,"referral_bonus","335.52","2021-03-16",NULL,NULL,NULL
419,"REF8643","0","completed","2021-11-22",344,499,"expired","discount","47.52",1297,"498.29","2021-01-21",622,"discount","19.96","2021-02-20",163,"referral_bonus","335.52","2021-03-16",NULL,NULL,NULL
27,"REF9372","0","failed","2021-05-30",1021,1324,"granted","discount","21.73",487,"245.02","2022-07-03",818,"points","27.22","2022-02-22",181,"referral_bonus","327.04","2021-06-08",NULL,NULL,NULL
27,"REF9372","0","failed","2021-05-30",1021,1324,"granted","discount","21.73",487,"245.02","2022-07-03",649,"discount","20.24","2022-04-17",181,"referral_bonus","327.04","2021-06-08",NULL,NULL,NULL
27,"REF9372","0","failed","2021-05-30",1021,1324,"granted","discount","21.73",487,"245.02","2022-07-03",153,"discount","84.89","2021-04-17",181,"referral_bonus","327.04","2021-06-08",NULL,NULL,NULL
314,"REF5414","776","pending","2022-01-19",27,271,"expired","cash","13.56",498,"23.99","2022-02-26",534,"discount","21.27","2022-07-15",183,"referral_bonus","332.12","2021-12-07",NULL,NULL,NULL
764,"REF1467","0","completed","2021-10-19",874,1073,"expired","cash","44.24",1049,"182.09","2022-02-21",440,"cash","97.23","2022-02-16",187,"referral_bonus","372.83","2021-09-15",NULL,NULL,NULL
764,"REF1467","0","completed","2021-10-19",874,1073,"expired","cash","44.24",185,"255.88","2022-12-15",440,"cash","97.23","2022-02-16",187,"referral_bonus","372.83","2021-09-15",NULL,NULL,NULL
632,"REF1467","90","completed","2021-07-15",874,1073,"expired","cash","44.24",1049,"182.09","2022-02-21",440,"cash","97.23","2022-02-16",187,"referral_bonus","372.83","2021-09-15",NULL,NULL,NULL
632,"REF1467","90","completed","2021-07-15",874,1073,"expired","cash","44.24",185,"255.88","2022-12-15",440,"cash","97.23","2022-02-16",187,"referral_bonus","372.83","2021-09-15",NULL,NULL,NULL
715,"REF3258","570","completed","2022-03-16",604,1278,"granted","cash","36.72",NULL,NULL,NULL,792,"cash","64.64","2022-01-22",193,"referral_bonus","268.76","2021-10-09",NULL,NULL,NULL
162,"REF3399","0","completed","2022-06-22",697,784,"expired","points","30.18",754,"493.36","2021-05-13",NULL,NULL,NULL,NULL,234,"referral_bonus","257.91","2021-04-28",NULL,NULL,NULL
393,"REF2009","835","pending","2021-02-16",714,894,"expired","discount","40.95",1225,"302.67","2021-06-15",NULL,NULL,NULL,NULL,236,"referral_bonus","112.04","2021-01-22",973,"email","2022-11-25"
922,"REF6409","0","failed","2022-11-21",1101,585,"granted","discount","48.05",NULL,NULL,NULL,730,"points","91.13","2021-03-25",238,"purchase","375.17","2021-05-28",NULL,NULL,NULL
446,"REF8795","0","pending","2022-01-08",803,95,"granted","cash","10.29",NULL,NULL,NULL,1220,"points","18.75","2022-11-19",249,"referral_bonus","348.14","2022-05-16",NULL,NULL,NULL
446,"REF8795","0","pending","2022-01-08",803,95,"granted","cash","10.29",NULL,NULL,NULL,288,"discount","12.21","2022-09-18",249,"referral_bonus","348.14","2022-05-16",NULL,NULL,NULL
533,"REF8689","0","failed","2022-11-05",1323,631,"granted","discount","38.97",729,"383.94","2022-10-08",NULL,NULL,NULL,NULL,255,"referral_bonus","243.06","2022-03-06",NULL,NULL,NULL
504,"REF8988","712","completed","2021-10-04",414,415,"expired","discount","12.28",1277,"179.3","2021-05-04",604,"points","66.37","2022-08-19",262,"purchase","21.2","2021-09-03",NULL,NULL,NULL
448,"REF6703","0","completed","2021-12-08",162,1038,"expired","discount","29.14",NULL,NULL,NULL,664,"cash","91.35","2021-08-17",271,"referral_bonus","202.53","2021-07-31",NULL,NULL,NULL
779,"REF8638","928","failed","2022-04-26",875,245,"granted","points","49.52",1354,"495.78","2022-03-08",946,"points","89.43","2022-08-08",273,"purchase","455.07","2022-05-06",NULL,NULL,NULL
47,"REF1139","422","completed","2022-06-08",611,318,"granted","discount","31.42",NULL,NULL,NULL,NULL,NULL,NULL,NULL,274,"referral_bonus","170.31","2022-03-03",NULL,NULL,NULL
973,"REF1639","241","failed","2021-09-06",678,950,"pending","discount","29.18",196,"158.75","2022-01-23",1247,"discount","81.08","2021-11-17",276,"referral_bonus","97.97","2022-07-18",NULL,NULL,NULL
202,"REF1464","0","completed","2022-06-15",1237,249,"pending","points","20.75",68,"396.73","2021-04-28",1266,"cash","52.71","2021-03-27",290,"referral_bonus","18.85","2022-11-02",NULL,NULL,NULL
202,"REF1464","0","completed","2022-06-15",1237,249,"pending","points","20.75",68,"396.73","2021-04-28",895,"points","54.83","2022-07-11",290,"referral_bonus","18.85","2022-11-02",NULL,NULL,NULL
202,"REF1464","0","completed","2022-06-15",1237,249,"pending","points","20.75",68,"396.73","2021-04-28",204,"cash","67.0","2021-01-04",290,"referral_bonus","18.85","2022-11-02",NULL,NULL,NULL
475,"REF5010","0","completed","2021-09-05",91,90,"pending","cash","7.94",368,"60.75","2022-04-14",NULL,NULL,NULL,NULL,351,"referral_bonus","338.15","2022-02-10",NULL,NULL,NULL
747,"REF6907","0","completed","2021-06-21",759,1410,"pending","discount","43.62",NULL,NULL,NULL,1286,"points","22.32","2022-07-22",357,"referral_bonus","308.26","2021-02-07",800,"email","2021-02-08"
393,"REF2009","835","pending","2021-02-16",714,894,"expired","discount","40.95",1225,"302.67","2021-06-15",NULL,NULL,NULL,NULL,365,"purchase","280.43","2021-12-12",973,"email","2022-11-25"
676,"REF4374","0","completed","2021-07-12",1051,622,"expired","discount","5.77",NULL,NULL,NULL,NULL,NULL,NULL,NULL,377,"referral_bonus","64.29","2021-03-19",NULL,NULL,NULL
551,"REF4910","0","failed","2022-01-30",1226,561,"pending","points","28.16",94,"253.05","2021-02-05",1240,"cash","90.55","2022-02-11",395,"purchase","496.7","2021-06-27",NULL,NULL,NULL
551,"REF4910","0","failed","2022-01-30",1226,561,"pending","points","28.16",94,"253.05","2021-02-05",179,"points","23.07","2022-08-17",395,"purchase","496.7","2021-06-27",NULL,NULL,NULL
46,"REF3467","0","failed","2021-09-03",166,31,"expired","points","49.67",NULL,NULL,NULL,NULL,NULL,NULL,NULL,408,"purchase","82.6","2022-02-07",NULL,NULL,NULL
